DATE;DAY;MOD;WEAK;DUTY;Z:STROLL MOD;Z:VELO;Z:SLEEPTIME;Z:TEETH;Z:TELE;F:KITCHEN;E:HYDIENE;E:PY;E:VIM;E:PLAN;E:SLEEPTIME;E:DIET;E:MEALS;L:TEETH;L:SLEEPTIME;L:DIET;L:MEALS
13.11;7;;2;0;1;T;22,00;;;T;T;;;T;;T;3;;;;
14.11;1;;1;24;;;;T;;T;T;;;;T;T;4;T;;T;1
15.11;2;KG;1;8;1;;22;T;;T;T;T;T;;;;3;T;;;
16.11;3;KG;1;0;1;T;22;T;T;T;T;T;T;T;;T;2;T;;;
17.11;4;KG;1;0;;;22;T;T;T;T;T;T;T;T;T;4;T;;;
18.11;5;KG;;0;1;;22;T;T;T;T;;;T;;T;4;T;;T;
19.11;6;;;24;2;;;T;;T;;T;T;T;T;T;4;;;T;
20.11;7;;;0;1;;;T;T;;T;T;T;T;;T;3;;;T;
21.11;1;KGD;;0;;;;T;T;T;T;T;T;T;;;3;T;;;
22.11;2;M;;24;;;22;;T;;T;T;T;;;T;4;T;;T;2
23.11;3;M;;0;2;;22;;;T;T;T;T;T;T;T;3;T;;T;
24.11;4;M;;8;;;22;T;T;T;T;T;T;;T;;2;T;T;T;1
25.11;5;M;;0;;;;T;;T;T;T;T;T;T;T;3;T;;;
26.11;6;;;24;;;22;;;T;T;T;T;;;T;4;T;;;
27.11;7;;;0;1;;22;T;T;T;T;T;T;T;;T;1;T;;T;1
28.11;1;KG;;24;2;;;T;T;;T;T;T;T;T;T;4;T;;T;2
29.11;2;KG;;0;1;;22;T;T;T;T;;;;;T;2;T;;T;2
30.11;3;KG;;0;1;;22;T;T;T;T;;;T;;T;4;T;;T;3